language,subject,popularity_measure,year,month,value,date
Python,Bigdata,Answers,2012,2,1,2012-02-01
Python,Bigdata,Answers,2012,3,3,2012-03-01
Python,Bigdata,Answers,2012,4,3,2012-04-01
Python,Bigdata,Answers,2012,5,2,2012-05-01
Python,Bigdata,Answers,2012,8,6,2012-08-01
Python,Bigdata,Answers,2012,9,1,2012-09-01
Python,Bigdata,Answers,2012,10,4,2012-10-01
Python,Bigdata,Answers,2013,2,10,2013-02-01
Python,Bigdata,Answers,2013,3,2,2013-03-01
Python,Bigdata,Answers,2013,4,9,2013-04-01
Python,Bigdata,Answers,2013,5,1,2013-05-01
Python,Bigdata,Answers,2013,6,5,2013-06-01
Python,Bigdata,Answers,2013,7,3,2013-07-01
Python,Bigdata,Answers,2013,8,2,2013-08-01
Python,Bigdata,Answers,2013,9,8,2013-09-01
Python,Bigdata,Answers,2013,10,14,2013-10-01
Python,Bigdata,Answers,2013,11,3,2013-11-01
Python,Bigdata,Answers,2013,12,3,2013-12-01
Python,Bigdata,Answers,2014,1,7,2014-01-01
Python,Bigdata,Answers,2014,2,9,2014-02-01
Python,Bigdata,Answers,2014,3,8,2014-03-01
Python,Bigdata,Answers,2014,4,12,2014-04-01
Python,Bigdata,Answers,2014,5,14,2014-05-01
Python,Bigdata,Answers,2014,6,3,2014-06-01
Python,Bigdata,Answers,2014,7,15,2014-07-01
Python,Bigdata,Answers,2014,8,15,2014-08-01
Python,Bigdata,Answers,2014,9,10,2014-09-01
